"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","293","6127760","4.78","4.70427296759267"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","248","6155967","4.03","3.97475641562978"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","256","6196638","4.13","4.10772896648359"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","232","6233007","3.72","3.71284458583313"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","267","6278616","4.25","4.21195602152814"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","272","6332669","4.3","4.31041008365187"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","256","6379599","4.01","4.06694654458885"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","242","6424806","3.77","3.87351966880692"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","249","6459325","3.85","3.97855253524713"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","228","6484125","3.52","3.58970372289923"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","212","6515358","3.25","3.31639961697607"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","264","6535665","4.04","4.1534834882762"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","313","6567484","4.77","4.92003260642777"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","268","6593182","4.06","4.19455699916193"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","306","6610596","4.63","4.8021796396478"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","379","6634007","5.71","5.96582464752282"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","384","6666818","5.76","6.02108880560731"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","5170","121331986","4.26","."
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","32","2917637","1.1","1.11774185097097"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","27","2928046","0.92","0.95443389373623"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","27","2931997","0.92","0.92037376790166"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","36","2934234","1.23","1.22296198535054"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","26","2941999","0.88","0.91434454385401"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","36","2953635","1.22","1.23347473596268"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","26","2964454","0.88","0.93097142111724"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","38","2982644","1.27","1.33123385264286"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","21","2999212","0.7","0.75446191317946"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","36","3016734","1.19","1.25958604506712"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","21","3032870","0.69","0.73794501216604"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","34","3046869","1.12","1.14547036769239"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","32","3063690","1.04","1.07118887492733"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","34","3074386","1.11","1.13916677617967"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","26","3089876","0.84","0.97753156752906"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","42","3105563","1.35","1.32316737274053"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","50","3118473","1.6","1.72017847958478"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","50","3130869","1.6","1.69738355787949"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","66","3145711","2.1","2.21016283459641"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","660","57378899","1.15","."
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","89","2678340","3.32","3.29729354267632"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","101","2692681","3.75","3.74854893549505"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","93","2702162","3.44","3.443444142923"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","74","2713535","2.73","2.69847540384294"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","84","2723004","3.08","3.14433978066477"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","87","2734373","3.18","3.2012076813363"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","63","2745299","2.29","2.30970768916957"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","81","2762931","2.93","2.94323382505127"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","75","2783785","2.69","2.70069816229809"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","79","2808076","2.81","2.82187442633895"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","95","2832704","3.35","3.47271089472151"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","76","2853130","2.66","2.71374699480659"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","87","2868756","3.03","3.1061925360564"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","72","2885316","2.5","2.61909468673135"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","82","2892900","2.83","2.88340910409286"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","83","2899553","2.86","2.88607428853202"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","100","2905789","3.44","3.52739253579108"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","115","2907731","3.95","4.22762013403548"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","140","2913123","4.81","4.96955730234494"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","1676","53303188","3.14","."
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","144","4018053","3.58","3.4836916473344"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","133","4048831","3.28","3.23241909045122"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","142","4068132","3.49","3.4401563746495"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","128","4089875","3.13","3.07864856316202"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","120","4117170","2.91","2.90078870643641"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","155","4146101","3.74","3.71820559566998"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","157","4182742","3.75","3.76683953763813"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","115","4219239","2.73","2.76939886188331"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","153","4256672","3.59","3.55951205581577"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","160","4289878","3.73","3.84139138833128"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","137","4317074","3.17","3.17421752694318"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","129","4339340","2.97","3.05379560924664"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","142","4368505","3.25","3.2755243414101"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","168","4383673","3.83","4.01063170396769"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","142","4399121","3.23","3.29318320878462"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","143","4410415","3.24","3.3601851221821"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","184","4422057","4.16","4.15617622606001"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","249","4436113","5.61","5.98039953088325"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","240","4454189","5.39","5.63450559453011"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","2941","80967180","3.63","."
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","347","4460814","7.78","7.63983599592632"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","430","4468879","9.62","9.39505641840401"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","402","4477875","8.98","8.83996359760719"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","474","4497267","10.54","10.3260692615933"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","479","4521042","10.59","10.4690465799471"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","483","4552238","10.61","10.2373575616552"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","465","4576628","10.16","9.82262455284734"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","446","4302665","10.37","10.0854318362124"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","491","4375581","11.22","11.185255948002"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","430","4435586","9.69","9.59938296219774"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","452","4491648","10.06","10.1151192689464"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","433","4533478","9.55","9.59364510574142"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","433","4574388","9.47","9.42711348165331"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","431","4602681","9.36","9.42601881300773"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","452","4626795","9.77","9.86014467367876"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","426","4648797","9.16","9.24551909755954"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","460","4671211","9.85","10.0472211264265"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","528","4686157","11.27","11.6752776494703"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","545","4684333","11.63","11.9773107692269"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","8607","86188063","9.99","."
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","17","1266808","1.34","1.39998179074481"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","13","1277179","1.02","1.05194789184307"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","P","1285692",".","."
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","P","1295960",".","."
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","P","1306513",".","."
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","11","1313688","0.84","0.8598691386727"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","P","1318787",".","."
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","17","1323619","1.28","1.33202195267643"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","16","1327040","1.21","1.2665113340656"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","15","1330509","1.13","1.19459260328814"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","16","1329590","1.2","1.1136214220337"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","17","1328362","1.28","1.31867080976804"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","21","1327968","1.58","1.72839863357787"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","17","1328101","1.28","1.35548512421605"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","17","1327975","1.28","1.12668387241807"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","16","1328903","1.2","1.33102378726525"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","16","1327787","1.21","1.26120803897067"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","P","1330232",".","."
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","17","1335907","1.27","1.25541056649723"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","267","25010620","1.07","."
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","410","5254511","7.8","7.98594666767203"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","366","5310451","6.89","7.05752539885493"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","372","5374691","6.92","7.06962242789089"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","373","5440389","6.86","7.03508517560189"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","402","5496269","7.31","7.45858941807788"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","394","5546935","7.1","7.25788759394043"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","432","5592379","7.72","7.82181204273767"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","434","5627367","7.71","7.84260685535026"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","439","5653408","7.77","7.89166740824152"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","399","5684965","7.02","7.07094869224584"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","330","5730388","5.76","5.85895266325369"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","312","5773807","5.4","5.51525131400161"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","296","5843115","5.07","5.12881884192848"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","312","5891680","5.3","5.43142163367403"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","313","5932654","5.28","5.39632898459555"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","266","5970245","4.46","4.58707199420716"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","457","6000561","7.62","7.92175827205842"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","453","6024752","7.52","7.86582852662484"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","463","6052177","7.65","7.99377433800347"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","7223","108200744","6.68","."
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","73","6317345","1.16","1.16016760491582"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","68","6362583","1.07","1.07037868325429"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","80","6397634","1.25","1.26362432893899"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","98","6417206","1.53","1.54248198465015"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","79","6422565","1.23","1.23385209922235"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","107","6412281","1.67","1.68185051927076"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","109","6403290","1.7","1.71822146460429"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","109","6410084","1.7","1.72222252709744"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","118","6431559","1.83","1.82950642007172"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","104","6468967","1.61","1.59376337711325"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","114","6517613","1.75","1.76397979854821"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","129","6547808","1.97","1.98022400797742"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","135","6612178","2.04","2.04546838415863"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","80","6659627","1.2","1.19694852012029"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","97","6711138","1.45","1.44551416417469"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","93","6757925","1.38","1.37273942601156"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","94","6794002","1.38","1.39274295563755"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","100","6823721","1.47","1.49517644245789"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","107","6859819","1.56","1.63949024586946"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","1894","124327345","1.52","."
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","522","9897117","5.27","5.25545039324049"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","518","9955146","5.2","5.21852529291027"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","513","9991120","5.13","5.17410895353817"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","497","10015710","4.96","5.02507912333798"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","488","10041152","4.86","4.95775643247072"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","493","10055315","4.9","5.04494634215865"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","501","10051137","4.98","5.14065140388938"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","542","10036081","5.4","5.55990554845897"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","517","10001284","5.17","5.40817193786302"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","494","9946889","4.97","5.18688585593381"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","502","9901591","5.07","5.31191900446989"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","451","9884129","4.56","4.84584014008522"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","521","9876199","5.28","5.59448954394445"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","587","9886610","5.94","6.2092669013837"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","500","9899219","5.05","5.33930799172443"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","417","9914675","4.21","4.44600116266137"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","446","9918170","4.5","4.85530045308774"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","487","9933445","4.9","5.17400155257556"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","443","9962311","4.45","4.71302391372763"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","9439","189167300","4.99","."
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","56","4873481","1.15","1.1329272313005"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2000","77","4933787","1.56","1.54720890069868"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2001","72","4982796","1.44","1.43886692490519"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2002","58","5018935","1.16","1.13818691163432"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2003","77","5053572","1.52","1.49652016899634"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2004","88","5087713","1.73","1.71529407300881"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2005","90","5119598","1.76","1.72863422661064"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2006","78","5163555","1.51","1.49100156098997"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2007","75","5207203","1.44","1.43229989576732"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2008","72","5247018","1.37","1.36950025118155"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2009","50","5281203","0.95","0.96369700845651"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2010","75","5303924","1.41","1.42153789453382"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2011","66","5345967","1.23","1.25029063891941"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2012","66","5377695","1.23","1.2218583839303"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2013","80","5416074","1.48","1.47215816784918"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2014","61","5452649","1.12","1.1534034389122"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2015","99","5483238","1.81","1.90183896219557"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2016","93","5525050","1.68","1.73629631873979"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","2017","87","5576606","1.56","1.64955182369871"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","","1420","99450064","1.43","."
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2017","Homicide/Legal Intervention Firearm","1999","220","2828412","7.78","7.64697861460152"
